order_id,customer_name,order_date,expected_amount,currency,order_status
ORD-1001,Deepak Gupta,2026-09-02 10:48:00,8750.0,INR,COMPLETED
ORD-1002,Meera Sundaram,2026-09-03 11:38:00,15999.0,INR,COMPLETED
ORD-1003,Sanjay Dutt,2026-09-04 12:55:00,6450.0,INR,COMPLETED
ORD-1004,Shreya Ghoshal,2026-09-05 13:21:00,49990.0,INR,COMPLETED
ORD-1005,Rajesh Khanna,2026-09-06 14:46:00,"₹1,250.00",INR,COMPLETED
ORD-1006,Rishabh Pant,2026-09-07 15:19:00,1250.0,INR,COMPLETED
 ORD-1007 ,Sanjay Dutt,2026-09-08 16:48:00,2499.0,INR,COMPLETED
ORD-1008,Aarav Sharma,2026-09-09 09:01:00,12500.0,INR,COMPLETED
ORD-1009,Neha Chawla,2026-09-10 10:05:00,349.0,INR,COMPLETED
ORD-1010,Vikram Malhotra,2026-09-11 11:42:00,"₹25,000.00",INR,COMPLETED
ORD-1011,Arjun Kapoor,2026-09-12 12:59:00,3200.0,INR,COMPLETED
ORD-1012,Geeta Phogat,2026-09-13 13:23:00,3200.0,INR,COMPLETED
ORD-1013,Kavita Rao,2026-09-14 14:21:00,2499.0,INR,COMPLETED
 ORD-1014 ,Karan Singhal,2026-09-15 15:04:00,12500.0,INR,COMPLETED
ORD-1015,Karan Singhal,2026-09-01 16:04:00,₹799.00,INR,COMPLETED
ORD-1016,Divya Menon,2026-09-02 09:34:00,15999.0,INR,COMPLETED
ORD-1017,Abhishek Bachchan,2026-09-03 10:51:00,6450.0,INR,COMPLETED
ORD-1018,Aditya Joshi,2026-09-04 11:27:00,15999.0,INR,COMPLETED
ORD-1019,Ashok Leyland,2026-09-05 12:25:00,349.0,INR,COMPLETED
ORD-1020,Aditya Joshi,2026-09-06 13:34:00,"₹2,499.00",INR,COMPLETED
 ORD-1021 ,Rajesh Khanna,2026-09-07 14:15:00,1250.0,INR,COMPLETED
ORD-1022,Siddharth Jain,2026-09-08 15:41:00,25000.0,INR,COMPLETED
ORD-1023,Sneha Nair,2026-09-09 16:26:00,49990.0,INR,COMPLETED
ORD-1024,Sunita Deshmukh,2026-09-10 09:10:00,34999.0,INR,COMPLETED
ORD-1025,Gayatri Sen,2026-09-11 10:27:00,"₹3,200.00",INR,COMPLETED
ORD-1026,Anand Mahindra,2026-09-12 11:12:00,18500.0,INR,COMPLETED
ORD-1027,Ananya Iyer,2026-09-13 12:03:00,12500.0,INR,COMPLETED
 ORD-1028 ,Nitin Gadkari,2026-09-14 13:32:00,49990.0,INR,COMPLETED
ORD-1029,Vikram Malhotra,2026-09-15 14:25:00,12500.0,INR,COMPLETED
ORD-1030,Neha Chawla,2026-09-01 15:05:00,"₹12,500.00",INR,COMPLETED
ORD-1031,Priyanka Chopra,2026-09-02 16:42:00,4800.0,INR,COMPLETED
ORD-1032,Neha Chawla,2026-09-03 09:42:00,3200.0,INR,COMPLETED
ORD-1033,Ritu Agrawal,2026-09-04 10:29:00,4800.0,INR,COMPLETED
ORD-1034,Aditya Joshi,2026-09-05 11:16:00,799.0,INR,COMPLETED
 ORD-1035 ,Vikram Malhotra,2026-09-06 12:18:00,"₹49,990.00",INR,COMPLETED
ORD-1036,Gaurav Seth,2026-09-07 13:51:00,18500.0,INR,COMPLETED
ORD-1037,Aarav Sharma,2026-09-08 14:06:00,15999.0,INR,COMPLETED
ORD-1038,Harish Natarajan,2026-09-09 15:09:00,799.0,INR,COMPLETED
ORD-1039,Sanjay Dutt,2026-09-10 16:43:00,2499.0,INR,COMPLETED
ORD-1040,Nitin Gadkari,2026-09-11 09:05:00,"₹6,450.00",INR,COMPLETED
ORD-1041,Divya Menon,2026-09-12 10:49:00,349.0,INR,COMPLETED
 ORD-1042 ,Arjun Kapoor,2026-09-13 11:45:00,18500.0,INR,COMPLETED
ORD-1043,Aarav Sharma,2026-09-14 12:34:00,799.0,INR,COMPLETED
ORD-1044,Ankita Lokhande,2026-09-15 13:02:00,1250.0,INR,COMPLETED
ORD-1045,Rohan Verma,2026-09-01 14:43:00,"₹49,990.00",INR,COMPLETED
ORD-1046,Swati Saxena,2026-09-02 15:47:00,25000.0,INR,COMPLETED
ORD-1047,Arjun Kapoor,2026-09-03 16:01:00,25000.0,INR,COMPLETED
ORD-1048,Aishwarya Bose,2026-09-04 09:10:00,25000.0,INR,COMPLETED
 ORD-1049 ,Gayatri Sen,2026-09-05 10:14:00,34999.0,INR,COMPLETED
ORD-1050,Swati Saxena,2026-09-06 11:01:00,"₹3,200.00",INR,COMPLETED
ORD-1051,Varun Dhawan,2026-09-07 12:49:00,4800.0,INR,COMPLETED
ORD-1052,Tara Sutaria,2026-09-08 13:21:00,8750.0,INR,COMPLETED
ORD-1053,Harish Natarajan,2026-09-09 14:06:00,1250.0,INR,COMPLETED
ORD-1054,Swati Saxena,2026-09-10 15:38:00,18500.0,INR,COMPLETED
ORD-1055,Abhishek Bachchan,2026-09-11 16:45:00,"₹2,499.00",INR,COMPLETED
 ORD-1056 ,Priyanka Chopra,2026-09-12 09:27:00,49990.0,INR,COMPLETED
ORD-1057,Juhi Chawla,2026-09-13 10:32:00,4800.0,INR,FAILED
ORD-1058,Tanvi Kulkarni,2026-09-14 11:08:00,5000.0,INR,COMPLETED
ORD-1059,Anand Mahindra,2026-09-15 12:36:00,5000.0,INR,COMPLETED
ORD-1060,Ankita Lokhande,2026-09-01 13:18:00,"₹34,999.00",INR,COMPLETED
ORD-1061,Radhika Apte,2026-09-02 14:28:00,12500.0,INR,COMPLETED
ORD-1062,Nitin Gadkari,2026-09-03 15:05:00,6450.0,INR,COMPLETED
 ORD-1063 ,Anand Mahindra,2026-09-04 16:52:00,15999.0,INR,COMPLETED
ORD-1064,Shreya Ghoshal,2026-09-05 09:09:00,3200.0,INR,COMPLETED
ORD-1065,Neha Chawla,2026-09-06 10:26:00,"₹6,450.00",INR,COMPLETED
ORD-1066,Rahul Dravid,2026-09-07 11:25:00,18500.0,INR,COMPLETED
ORD-1067,Tara Sutaria,2026-09-08 12:49:00,18500.0,INR,COMPLETED
ORD-1068,Pooja Hegde,2026-09-09 13:35:00,25000.0,INR,COMPLETED
ORD-1069,Ritu Agrawal,2026-09-10 14:33:00,1250.0,INR,COMPLETED
 ORD-1070 ,Tanvi Kulkarni,2026-09-11 15:52:00,"₹25,000.00",INR,COMPLETED
ORD-1071,Rajesh Khanna,2026-09-12 16:47:00,34999.0,INR,COMPLETED
ORD-1072,Siddharth Jain,2026-09-13 09:17:00,3200.0,INR,COMPLETED
ORD-1073,Shruti Haasan,2026-09-14 10:28:00,15999.0,INR,COMPLETED
ORD-1074,Neha Chawla,2026-09-15 11:57:00,3200.0,INR,COMPLETED
ORD-1075,Deepak Gupta,2026-09-01 12:44:00,"₹1,250.00",INR,COMPLETED
ORD-1076,Vikram Malhotra,2026-09-02 13:34:00,5000.0,INR,COMPLETED
 ORD-1077 ,Ananya Iyer,2026-09-03 14:57:00,2499.0,INR,COMPLETED
ORD-1078,Vijay Sethupathi,2026-09-04 15:00:00,349.0,INR,FAILED
ORD-1079,Rishabh Pant,2026-09-05 16:47:00,5000.0,INR,COMPLETED
ORD-1080,Sanjay Dutt,2026-09-06 09:14:00,"₹49,990.00",INR,COMPLETED
ORD-1081,Shruti Haasan,2026-09-07 10:42:00,349.0,INR,COMPLETED
ORD-1082,Ritu Agrawal,2026-09-08 11:34:00,49990.0,INR,COMPLETED
ORD-1083,Radhika Apte,2026-09-09 12:41:00,12500.0,INR,COMPLETED
 ORD-1084 ,Ritu Agrawal,2026-09-10 13:24:00,1250.0,INR,COMPLETED
ORD-1085,Ritu Agrawal,2026-09-11 14:17:00,"₹4,800.00",INR,COMPLETED
ORD-1086,Harish Natarajan,2026-09-12 15:01:00,34999.0,INR,FAILED
ORD-1087,Ananya Iyer,2026-09-13 16:04:00,4800.0,INR,COMPLETED
ORD-1088,Rishabh Pant,2026-09-14 09:53:00,349.0,INR,COMPLETED
ORD-1089,Meera Sundaram,2026-09-15 10:42:00,2499.0,INR,COMPLETED
ORD-1090,Sunita Deshmukh,2026-09-01 11:10:00,"₹6,450.00",INR,COMPLETED
 ORD-1091 ,Smriti Mandhana,2026-09-02 12:19:00,18500.0,INR,COMPLETED
ORD-1092,Priya Patel,2026-09-03 13:43:00,49990.0,INR,COMPLETED
